label,price,pub_month,click,score,judge,rec_most,rec_more,rec_normal,rec_bad,rec_morebad,readed,reading,readup
0,26.3,8,11,8.2,63.0,14,34,70,7,10,99,41,38
1,45.9,5,63,7.3,802.0,16,20,54,10,1,90,15,47
1,28.6,4,14,7.5,16780.0,17,27,60,15,2,26,26,20
0,44.5,11,67,8.4,745.0,17,23,45,2,9,80,72,73
1,22.7,2,15,8.0,648.0,10,20,54,5,5,83,55,60
1,42.6,2,34,8.0,193.0,20,32,37,9,10,34,75,66
1,41.3,8,63,7.1,2081.0,19,28,68,10,6,63,56,35
1,23.2,7,3,7.4,2526.0,15,20,73,1,5,52,79,40
1,20.3,10,82,8.3,60.0,19,36,79,6,6,81,54,12
0,24.1,15,37,7.2,716.0,11,37,94,19,8,54,37,20
0,28.1,5,46,7.4,248.0,12,21,97,5,4,45,18,48
0,50.4,4,40,6.9,75.0,15,26,47,11,1,28,70,13
1,42.3,5,61,8.2,10181.0,11,38,79,14,2,80,92,74
0,28.3,13,20,8.5,29920.0,14,21,89,10,10,50,98,17
1,32.2,9,55,9.1,263106.0,11,31,74,20,7,98,83,75
0,33.6,5,34,6.3,191.0,18,34,85,20,1,15,78,52
1,26.6,15,92,7.1,52.0,18,25,97,3,6,62,73,75
0,38.2,9,60,7.6,90781.0,17,21,59,5,9,22,31,90
1,31.9,8,76,8.9,605.0,13,27,35,1,4,27,59,27
1,47.2,7,77,9.5,921.0,14,34,60,20,9,62,60,73
1,35.6,4,25,8.4,920.0,16,20,45,8,5,75,82,87
0,48.4,13,15,7.7,127.0,11,25,73,18,10,61,20,59
0,42.2,12,1,7.6,310.0,20,36,32,19,10,11,65,20
0,48.4,15,15,9.4,1018.0,10,32,91,16,6,84,83,58
1,39.2,1,37,8.6,1439.0,13,20,75,7,6,81,68,91
1,41.8,9,34,8.0,305.0,10,37,29,10,5,56,27,62
0,42.4,4,52,8.8,5838.0,18,39,66,15,10,42,93,82
0,43.1,9,97,9.0,70.0,15,28,53,11,8,65,47,63
1,33.1,10,25,8.9,2419.0,17,23,91,11,2,83,100,91
0,47.1,13,74,8.2,2301.0,11,29,67,17,2,44,96,28
0,43.4,8,88,8.6,6908.0,11,39,59,3,4,99,71,46
0,41.7,11,77,9.2,2545.0,13,24,74,14,2,78,23,56
0,21.9,12,32,8.2,509.0,14,23,42,5,5,83,94,57
0,37.8,14,11,8.0,936.0,10,26,22,18,4,95,34,77
1,48.8,8,24,8.6,361.0,14,40,91,15,3,82,43,26
1,33.9,7,4,9.0,298.0,13,33,82,9,8,36,83,31
1,50.5,9,15,8.7,1138.0,10,38,74,14,3,93,61,64
0,23.2,10,60,9.3,233.0,19,36,60,4,6,46,81,61
0,38.2,15,20,8.7,153.0,14,29,67,9,1,73,25,11
0,50.4,2,67,9.2,33.0,11,21,88,4,3,37,79,87
0,35.3,9,88,9.4,5128.0,12,23,52,14,3,76,61,95
1,40.7,15,61,9.6,373.0,17,24,59,7,5,49,71,16
1,42.3,7,36,8.7,145.0,11,39,64,18,3,94,68,27
1,32.8,10,5,8.2,165.0,19,31,61,7,4,13,29,94
0,24.8,3,80,9.1,154.0,12,28,59,16,2,28,59,99
0,34.6,7,18,8.9,42.0,10,34,96,11,10,88,52,21
1,22.8,6,87,9.1,407.0,18,25,77,17,9,92,48,77
0,20.8,7,75,9.6,193.0,16,32,91,10,3,86,66,57
0,49.1,11,70,8.5,53.0,18,31,28,8,4,54,17,57
1,48.7,14,71,8.9,66.0,10,25,84,1,6,56,55,100
0,27.3,14,30,9.3,441.0,13,40,36,10,7,22,11,69
0,34.9,5,16,9.1,478.0,19,30,59,2,7,99,52,22
0,45.4,11,61,9.4,408.0,14,30,24,19,9,69,78,42
1,21.8,2,50,9.3,482.0,12,22,84,20,1,93,61,90
1,36.3,9,52,8.1,104.0,16,22,94,16,7,17,53,24
1,25.3,11,24,9.5,76.0,12,26,70,20,6,67,94,59
0,27.3,6,11,8.8,510.0,12,21,56,17,9,80,46,56
0,33.8,6,20,9.1,215.0,13,29,81,10,9,93,12,85
1,34.4,8,8,9.1,112.0,20,39,79,20,2,63,52,36
1,35.6,7,96,8.0,104.0,16,38,35,6,9,52,91,15
1,33.2,14,21,8.3,5295.0,19,33,64,20,9,11,91,31
1,27.1,12,23,8.8,134.0,16,32,59,11,8,92,78,66
0,49.4,10,13,8.6,288.0,20,39,43,7,7,38,11,17
1,42.4,6,6,9.1,393.0,16,21,73,4,1,74,92,43
0,32.3,12,77,9.4,560.0,10,29,42,14,5,46,19,44
0,33.8,3,51,8.8,121.0,18,26,82,17,3,17,16,59
1,43.9,11,80,8.5,285.0,15,29,73,8,2,60,27,32
1,38.6,4,20,7.9,321.0,17,36,58,10,6,68,95,98
1,49.7,1,16,8.3,842.0,11,33,77,16,10,70,72,23
0,32.6,6,55,8.4,1394.0,10,39,48,13,8,39,67,74
0,50.3,14,34,9.1,326.0,10,31,82,11,4,99,94,42
0,22.3,8,10,8.2,494.0,20,37,71,1,3,29,46,77
1,23.9,10,87,9.4,116.0,10,35,80,5,8,30,39,53
1,27.8,10,83,8.7,178.0,12,38,55,8,10,22,55,44
1,48.5,14,93,8.3,58.0,13,38,97,9,6,87,31,61
1,22.8,2,49,8.9,944.0,18,30,44,15,2,87,57,65
0,23.4,11,19,7.8,347.0,10,34,48,20,6,88,26,28
0,42.9,12,7,9.2,127.0,18,30,99,3,9,73,90,98
1,38.2,2,82,8.1,58.0,19,24,60,10,4,44,70,81
1,38.4,9,60,7.9,2465.0,12,31,74,5,3,87,84,82
1,44.6,5,16,7.4,4982.0,14,27,33,18,9,57,47,32
0,46.8,3,17,7.4,442.0,17,32,66,1,6,20,23,69
0,46.8,5,27,8.7,4908.0,14,21,57,9,3,31,41,62
0,20.1,9,98,8.2,1761.0,13,30,37,9,7,95,10,97
1,44.2,14,25,8.0,310.0,15,27,46,13,2,37,95,87
1,27.2,3,28,8.0,119.0,11,40,31,17,4,57,88,43
0,33.7,9,47,7.7,1180.0,18,28,86,1,8,72,71,87
1,30.1,2,62,7.9,5256.0,17,21,66,18,5,51,58,15
1,41.6,3,19,8.2,244.0,11,20,73,16,3,43,34,72
1,47.1,1,53,7.8,2960.0,17,33,86,4,10,50,70,68
0,20.8,14,2,9.5,53.0,15,23,27,16,7,80,28,85
1,46.5,7,65,7.7,849.0,18,22,66,11,7,79,32,30
0,35.6,7,18,7.4,753.0,15,20,23,14,3,61,29,37
1,44.6,6,60,7.9,33.0,10,39,91,11,2,70,34,33
0,44.9,6,64,7.5,221.0,20,32,40,7,5,47,31,61
1,25.3,9,90,8.2,1623.0,13,33,93,14,9,53,22,76
0,23.1,3,38,7.9,11964.0,18,23,66,7,5,70,21,91
1,44.3,1,32,7.8,1645.0,15,35,61,18,10,37,30,70
1,38.3,15,7,8.3,181.0,15,31,81,14,2,65,60,98
1,25.8,14,18,8.0,523.0,20,28,84,2,3,95,34,31
0,43.7,8,23,7.7,738.0,19,38,78,12,7,21,26,94
1,38.1,10,55,7.8,90923.0,13,23,40,4,9,73,60,95
0,45.3,7,74,6.7,1024.0,13,34,74,8,5,77,80,44
1,45.7,6,38,7.9,598.0,15,34,42,8,10,27,90,32
1,21.3,3,49,8.1,933.0,20,30,70,6,6,93,81,82
0,46.3,2,29,7.2,227.0,10,30,89,6,4,38,31,63
0,25.4,3,43,7.6,138.0,20,27,60,10,8,84,73,21
1,24.1,7,52,7.3,1061.0,12,22,67,16,10,39,58,33
0,21.8,3,100,8.1,436.0,11,34,20,7,3,75,95,58
1,30.4,7,74,7.0,131.0,12,40,75,17,1,15,32,58
0,49.4,2,91,7.4,546.0,14,25,55,19,5,36,92,97
1,34.3,14,87,7.5,2648.0,10,37,62,8,7,67,94,40
1,27.5,4,67,5.7,660.0,15,34,66,8,3,93,40,57
0,49.8,13,77,8.2,452.0,15,33,20,11,6,64,88,94
0,47.7,4,34,7.4,2915.0,18,32,89,11,1,90,88,94
0,47.6,11,82,8.3,800.0,14,31,30,13,2,54,65,13
1,33.5,15,70,7.8,350.0,16,20,59,20,3,77,21,90
1,27.9,6,55,6.8,1582.0,17,27,50,8,4,59,42,38
1,29.1,6,94,8.2,232.0,18,33,66,1,6,59,63,19
0,27.6,3,100,8.2,369.0,14,34,50,10,10,21,34,12
0,49.2,14,52,8.7,49.0,12,30,86,16,1,19,36,79
1,36.9,3,30,9.3,128.0,11,38,57,17,4,36,58,100
1,49.4,7,77,9.1,99,15,38,60,19,3,62,43,48
0,48.5,3,2,8.2,1262.0,11,32,22,5,2,42,87,60
0,48.9,3,87,7.1,2250.0,11,25,59,16,5,66,88,11
1,32.9,1,89,7.9,1256.0,16,29,30,19,1,84,68,63
0,36.9,10,31,8.2,4468.0,20,40,85,13,10,20,32,38
0,30.9,5,63,7.0,114.0,16,32,31,7,9,27,15,55
1,33.4,6,4,8.6,137.0,14,30,91,18,9,93,49,70
0,31.5,4,61,7.6,828.0,16,25,28,14,8,49,39,66
1,27.1,4,48,7.5,1907.0,19,27,65,4,10,12,73,14
0,27.2,4,74,6.5,179.0,20,22,57,3,1,31,27,18
0,29.9,3,41,8.7,1716.0,13,28,71,16,3,25,39,15
1,48.9,12,41,8.5,1290.0,15,20,69,8,3,23,57,16
1,21.9,5,43,7.4,66.0,16,36,40,11,9,95,65,42
1,32.6,2,67,8.4,1248.0,11,36,84,8,7,79,80,61
0,45.3,3,97,9.1,120.0,15,26,57,7,1,10,58,83
1,27.3,10,2,7.8,66.0,15,33,91,15,6,42,94,43
1,24.9,4,70,8.1,588.0,15,26,67,7,5,53,55,84
0,26.6,3,18,9.2,933.0,12,40,91,9,10,62,91,33
0,46.6,4,11,8.7,855.0,14,33,79,4,5,43,74,42
1,47.7,2,51,8.8,121.0,18,29,91,1,7,63,87,51
0,32.1,1,40,7.5,57.0,15,28,39,4,3,40,53,81
0,40.8,12,95,8.8,389.0,16,40,71,3,6,18,81,71
1,27.5,14,81,8.1,427.0,12,25,25,9,6,50,50,65
0,23.1,7,19,8.2,1063.0,15,22,41,10,2,43,94,14
1,35.7,14,87,9.8,215.0,13,24,67,6,5,25,29,19
1,36.6,10,20,8.5,67.0,16,40,94,18,9,92,30,32
0,47.1,8,49,6.7,382.0,12,29,36,1,1,27,19,78
0,20.9,10,23,9.7,53.0,19,36,26,20,10,56,91,87
1,21.6,14,29,8.6,630.0,16,24,55,8,2,72,38,99
1,23.3,4,27,9.5,810.0,17,26,78,15,5,60,93,96
1,28.2,12,100,9.2,923.0,14,38,76,13,7,32,32,83
1,32.6,6,44,8.0,1565.0,18,38,22,12,10,49,40,89
1,32.2,4,14,8.7,1134.0,13,20,35,18,9,93,35,91
1,48.6,15,44,7.6,70.0,14,38,28,6,8,36,18,26
1,35.8,13,14,8.6,369.0,20,21,22,11,1,95,48,47
0,47.4,4,70,7.8,583.0,15,39,50,19,2,82,17,48
1,31.2,4,52,7.3,90.0,15,38,31,18,9,100,81,83
1,49.8,13,99,7.4,137.0,15,37,51,10,3,59,37,99
0,49.8,7,88,7.7,102.0,15,25,64,12,1,64,90,33
0,39.3,12,6,7.5,198.0,10,34,92,2,5,51,76,11
1,38.2,6,37,8.8,337.0,14,26,74,11,3,63,57,79
1,20.6,11,38,7.3,45.0,19,34,21,17,4,87,99,89
0,25.8,8,75,7.8,35.0,12,34,89,2,3,84,39,35
0,47.3,1,63,7.1,124.0,18,34,84,14,4,18,33,58
1,21.5,5,37,7.4,334.0,12,24,74,17,7,79,95,57
0,44.4,5,94,7.1,56.0,17,39,32,16,6,95,35,64
1,23.5,6,44,8.4,1131.0,18,34,88,11,6,36,80,79
0,40.4,3,84,7.7,38.0,14,37,42,9,3,32,75,47
0,33.3,4,74,8.0,183.0,11,37,88,3,4,88,98,74
1,46.1,12,10,8.4,72.0,18,26,76,1,4,62,31,56
1,50.7,4,32,6.9,68.0,10,39,50,12,5,83,85,98
0,20.4,1,7,8.7,39.0,11,24,71,11,5,78,78,78
0,38.6,7,19,7.3,79.0,13,25,31,2,4,11,66,73
1,42.6,8,29,6.9,99,10,35,85,11,9,13,49,41
1,44.9,15,68,7.8,24.0,14,26,95,18,5,91,22,66
1,38.2,7,80,7.8,2615.0,16,22,83,12,9,24,89,24
1,25.7,7,65,8.0,56.0,14,36,57,10,3,78,78,73
1,30.9,4,35,7.2,65.0,12,24,58,9,6,91,94,81
1,35.5,8,40,9.0,389.0,10,36,88,4,1,21,39,43
0,37.1,4,38,7.6,132.0,12,34,48,17,2,75,18,39
0,46.4,10,68,7.3,280.0,18,22,79,19,5,90,84,47
1,44.6,10,13,8.0,270.0,17,30,50,9,9,39,26,64
1,49.8,9,64,8.2,397.0,16,33,36,18,9,78,77,15
0,33.6,7,48,7.7,86.0,14,32,78,10,10,66,88,66
0,25.7,10,19,8.1,72.0,10,40,85,12,1,74,59,22
0,44.6,11,93,8.6,126.0,17,36,63,11,3,98,89,47
0,22.2,7,89,7.4,245.0,11,40,61,13,4,27,33,43
1,42.8,5,73,7.8,23.0,14,31,74,11,4,16,98,85
1,50.2,13,31,7.6,42.0,16,34,67,16,8,79,70,53
1,22.8,12,7,7.6,120.0,14,27,87,16,1,18,24,43
0,46.3,15,72,8.6,2349.0,10,37,25,20,3,81,16,63
1,26.7,9,71,7.5,89.0,16,38,73,2,2,94,40,35
1,28.9,9,48,7.2,1922.0,16,25,58,6,7,68,12,64
0,26.1,13,25,9.0,36.0,18,30,92,16,6,87,48,34
1,47.3,8,69,7.1,1066.0,13,34,35,18,3,30,37,81
0,29.5,1,86,9.4,124.0,19,21,51,11,4,59,46,24
1,46.5,14,65,7.4,214.0,16,26,93,17,1,91,75,61
0,23.8,1,24,8.7,305.0,18,25,84,5,4,99,96,27
1,27.4,3,54,8.7,59.0,11,31,74,19,1,74,94,65
1,35.2,2,70,8.1,215.0,18,38,56,16,1,60,30,35
1,25.6,15,88,8.2,73.0,14,39,37,4,4,77,20,76
1,36.6,8,67,8.2,102.0,10,34,40,8,2,33,50,13
1,48.6,5,65,8.2,23.0,13,20,82,20,6,10,28,30
0,31.6,7,7,8.9,40.0,18,27,26,4,5,27,16,51
1,37.7,3,17,8.0,29.0,12,29,98,1,3,70,53,96
0,26.7,14,37,8.2,22.0,14,36,77,15,4,87,74,29
0,44.6,15,8,8.1,47.0,11,33,75,14,2,83,15,22
1,50.7,13,55,8.6,20.0,14,22,37,6,5,13,15,77
1,22.6,14,56,8.3,160.0,16,28,99,15,10,11,94,80
0,34.2,8,41,7.5,41.0,17,31,87,6,7,20,37,61
1,34.4,2,31,9.2,41.0,16,39,36,11,2,67,11,27
1,40.5,5,18,8.7,687.0,14,22,80,9,2,98,68,59
0,41.1,10,81,8.9,53.0,15,23,40,18,5,76,87,49
1,41.5,8,59,6.1,29.0,15,25,89,18,6,94,64,47
1,26.7,10,58,10.0,24.0,20,20,84,10,6,49,66,57
1,34.2,11,59,9.8,22.0,16,20,58,19,7,88,57,75
0,38.7,5,55,3.8,99,20,23,71,2,9,81,28,39
0,44.1,2,58,7.1,99,17,37,76,5,2,13,32,50
1,49.1,6,95,7.3,14.0,10,34,40,8,1,15,100,99
1,29.7,6,78,3.1,99,18,36,77,9,8,42,84,54
1,33.2,10,26,3.5,99,19,33,29,12,1,36,42,75
1,32.1,9,73,2.6,99,12,35,32,10,3,51,53,88
1,45.7,3,43,3.8,99,14,39,99,19,8,87,59,66
0,22.2,1,82,8.3,179.0,10,37,72,3,4,72,25,10
1,21.3,4,27,5.7,99,17,21,66,7,2,77,83,20
0,40.2,12,39,7.1,99,11,27,26,7,9,14,87,57
1,21.1,13,45,7.8,85.0,10,31,23,7,9,92,14,24
1,34.1,4,96,4.2,99,13,27,65,4,10,32,60,81
1,21.8,12,54,4.3,99,14,36,89,13,2,83,80,20
0,48.7,7,58,7.4,26.0,20,37,36,12,7,28,93,56
1,40.8,12,51,1.8,99,15,25,45,12,1,19,95,45
1,33.9,11,55,7.7,99,13,23,69,1,7,35,94,29
0,30.7,7,42,5.4,99,12,34,30,17,2,12,28,21
1,41.7,6,89,8.2,25.0,11,25,56,6,2,11,62,62
0,49.3,12,58,4.1,24.0,15,25,20,4,6,12,65,97
1,35.8,15,57,1.5,99,18,31,75,5,8,74,17,98
1,20.3,4,24,7.3,14.0,20,23,35,3,1,53,86,16
0,28.2,13,63,8.3,314.0,11,33,50,18,7,79,62,91
0,25.6,1,17,7.3,259.0,14,34,53,2,4,94,41,70
0,29.5,12,4,8.6,41.0,11,22,64,14,1,30,13,61
1,21.8,9,56,6.5,141.0,12,35,67,12,10,76,45,34
0,40.5,8,5,7.7,229.0,14,37,81,9,7,64,89,64
1,24.4,13,86,7.9,278.0,20,37,28,16,4,98,18,21
0,50.7,1,49,7.9,153.0,16,28,36,4,8,15,26,46
0,45.2,2,62,8.3,262.0,20,28,39,5,5,74,52,64
0,45.2,1,92,7.6,196.0,19,25,91,10,8,88,90,59
1,37.4,1,61,7.0,52.0,18,33,28,4,4,65,76,62
1,32.7,7,61,8.4,48.0,10,36,72,5,2,37,29,100
1,22.7,12,96,8.2,95.0,16,33,95,2,5,27,82,56
0,26.7,4,30,6.8,30.0,11,35,29,12,2,91,45,77
1,44.1,6,57,9.0,174.0,19,37,77,6,2,96,66,20
0,26.8,1,100,8.4,441.0,18,36,20,4,4,70,71,20
1,47.5,14,27,8.3,568.0,13,33,50,1,9,24,22,66
1,37.5,12,54,8.1,166.0,20,35,68,7,9,51,59,87
0,50.5,3,66,8.3,52.0,20,37,26,19,4,27,68,62
0,45.1,5,34,3.7,99,16,21,85,12,9,81,22,36
1,20.1,7,56,8.7,871.0,12,29,41,17,3,41,45,85
1,31.6,4,12,8.3,99,19,36,20,12,6,85,60,47
1,31.8,2,20,8.0,83.0,14,25,23,12,8,66,53,19
0,35.4,5,97,6.4,121.0,11,26,41,3,4,54,97,22
1,48.9,11,68,8.2,4961.0,15,30,34,3,4,37,13,57
1,36.4,7,97,6.2,296.0,20,26,27,14,4,20,27,48
0,25.3,9,22,7.7,60.0,15,35,70,2,1,12,94,27
1,40.1,7,98,8.5,4463.0,18,31,98,18,7,14,78,82
1,36.6,15,92,8.3,190.0,15,36,64,6,5,28,79,42
1,20.3,11,15,6.9,354.0,13,36,99,16,10,18,99,63
1,48.3,3,25,8.5,625.0,10,28,82,8,5,75,100,29
0,45.8,7,82,7.0,190.0,10,21,54,7,10,76,79,63
1,30.8,5,25,8.4,52.0,17,21,69,20,9,68,25,86
0,23.5,2,15,6.7,212.0,14,31,78,4,4,89,20,57
1,40.4,11,38,7.2,19.0,20,31,92,8,6,90,94,86
1,41.3,13,75,6.8,206.0,14,32,79,10,9,45,95,61
0,46.2,4,76,8.1,2131.0,11,32,31,20,2,100,77,49
1,39.8,12,52,7.6,96.0,20,40,33,9,3,42,58,89
1,28.9,2,89,8.8,362.0,18,32,95,7,1,81,18,75
0,41.7,5,12,7.7,380.0,16,31,86,9,3,65,86,54
1,41.3,4,38,7.7,683.0,18,37,98,13,5,78,91,70
0,26.9,3,59,7.3,211.0,19,32,91,14,6,26,44,27
1,46.9,7,25,8.0,332.0,19,27,36,7,7,58,12,32
0,50.3,8,37,8.1,398.0,18,30,53,17,6,46,29,50
1,49.9,2,79,7.4,16.0,18,34,84,11,3,13,50,49
0,47.1,4,88,7.6,249.0,16,31,85,7,5,23,34,69
